Date,Employment AUS,Employment NSW,Employment VIC,Employment QLD,Employment SA,Employment WA,Employment TAS,Employment NT,Employment ACT,Month,Year,Quarter
2018-01-01,"12,305,064.62","3,882,229.09","3,214,170.79","2,449,479.31","826,848.13","1,318,081.45","247,148.87","136,106.90","231,000.08",1,2018,1
2018-02-01,"12,528,184.69","3,976,083.79","3,261,193.10","2,490,316.09","850,068.07","1,332,960.55","248,627.84","137,516.06","231,419.20",2,2018,1
2018-03-01,"12,494,836.08","3,969,758.25","3,263,765.56","2,468,286.62","842,458.40","1,332,190.59","250,263.92","139,065.25","229,047.48",3,2018,1
2018-04-01,"12,525,911.99","4,009,025.12","3,249,088.10","2,466,335.58","846,420.61","1,341,932.75","249,684.92","136,949.90","226,475.00",4,2018,2
2018-05-01,"12,572,697.36","3,998,042.39","3,290,446.47","2,473,892.30","846,443.10","1,348,763.08","249,868.37","139,153.07","226,088.58",5,2018,2
2018-06-01,"12,608,359.05","4,028,338.97","3,278,587.18","2,485,500.46","848,223.83","1,344,416.84","250,717.33","140,809.46","231,764.99",6,2018,2
2018-07-01,"12,575,383.41","3,991,488.87","3,298,272.59","2,484,675.65","845,184.66","1,338,228.43","249,413.58","139,630.45","228,489.18",7,2018,3
2018-08-01,"12,547,537.70","4,010,808.65","3,275,607.10","2,488,134.82","832,858.02","1,333,220.92","249,101.59","133,239.91","224,566.69",8,2018,3
2018-09-01,"12,615,471.65","4,047,229.93","3,308,441.77","2,475,555.22","835,250.52","1,340,350.85","247,842.84","133,507.96","227,292.55",9,2018,3
2018-10-01,"12,654,573.20","4,056,049.07","3,317,326.16","2,483,846.22","842,352.29","1,346,736.95","251,116.40","133,586.93","223,559.18",10,2018,4
2018-11-01,"12,741,586.74","4,060,057.23","3,360,062.24","2,510,215.42","845,369.98","1,351,772.99","249,550.29","135,009.02","229,549.56",11,2018,4
2018-12-01,"12,839,166.62","4,089,539.83","3,400,319.89","2,536,957.29","851,799.64","1,347,177.07","249,774.18","134,769.41","228,829.30",12,2018,4
2019-01-01,"12,603,075.61","4,047,232.29","3,334,053.81","2,461,879.35","831,381.72","1,322,552.61","245,761.82","132,890.16","227,323.86",1,2019,1
2019-02-01,"12,802,157.75","4,098,375.90","3,395,672.26","2,509,779.40","850,411.31","1,340,274.73","249,384.96","131,513.35","226,745.84",2,2019,1
2019-03-01,"12,785,249.12","4,090,986.73","3,382,808.48","2,505,870.37","857,427.44","1,340,963.24","247,774.15","132,616.06","226,802.67",3,2019,1
2019-04-01,"12,831,683.43","4,130,431.65","3,367,196.86","2,514,215.60","861,463.39","1,351,886.43","250,374.14","128,368.76","227,746.60",4,2019,2
2019-05-01,"12,921,060.78","4,159,194.96","3,411,884.03","2,524,661.07","862,939.09","1,356,025.79","249,520.63","128,561.68","228,273.53",5,2019,2
2019-06-01,"12,889,667.80","4,142,252.47","3,400,206.94","2,508,916.95","859,455.20","1,367,960.11","247,156.20","128,292.26","235,427.66",6,2019,2
2019-07-01,"12,887,295.29","4,140,727.04","3,389,752.30","2,538,426.79","852,758.61","1,360,238.54","247,667.40","127,968.66","229,755.95",7,2019,3
2019-08-01,"12,858,290.35","4,131,976.08","3,392,027.37","2,522,529.62","849,427.51","1,356,517.95","247,240.82","128,290.94","230,280.06",8,2019,3
2019-09-01,"12,925,873.93","4,137,372.49","3,411,274.84","2,552,374.85","853,453.85","1,353,950.62","250,188.67","132,079.63","235,178.97",9,2019,3
2019-10-01,"12,899,928.23","4,110,637.14","3,422,230.32","2,545,150.66","844,008.84","1,363,355.61","251,503.65","131,816.30","231,225.71",10,2019,4
2019-11-01,"12,995,558.09","4,123,860.18","3,451,372.85","2,570,377.35","852,284.75","1,370,616.96","255,669.64","134,500.45","236,875.92",11,2019,4
2019-12-01,"13,097,767.56","4,176,188.09","3,489,578.99","2,576,175.26","853,964.11","1,371,548.05","259,670.79","135,936.34","234,705.93",12,2019,4
2020-01-01,"12,831,914.79","4,075,856.01","3,415,850.21","2,527,128.85","838,098.29","1,355,855.50","255,527.72","131,187.89","232,410.33",1,2020,1
2020-02-01,"13,053,014.49","4,135,141.95","3,456,565.57","2,583,144.25","859,087.19","1,384,430.04","262,376.30","133,605.65","238,663.53",2,2020,1
2020-03-01,"13,004,269.83","4,127,382.33","3,446,454.35","2,559,790.17","861,450.08","1,374,375.78","259,140.73","136,477.59","239,198.79",3,2020,1
2020-04-01,"12,411,846.19","3,920,412.57","3,312,900.74","2,424,994.66","825,142.64","1,313,276.95","251,477.85","132,335.77","231,305.00",4,2020,2
2020-05-01,"12,190,780.93","3,868,661.33","3,259,763.18","2,361,792.25","811,680.20","1,288,822.14","241,116.03","130,206.91","228,738.90",5,2020,2
2020-06-01,"12,391,756.26","3,948,929.99","3,279,554.30","2,421,802.84","824,906.13","1,307,007.60","246,070.14","128,813.29","234,671.97",6,2020,2
2020-07-01,"12,474,027.18","3,991,210.72","3,282,897.71","2,437,174.30","828,673.99","1,321,757.25","251,618.55","126,382.54","234,312.12",7,2020,3
2020-08-01,"12,566,461.75","4,025,801.46","3,225,549.41","2,505,283.88","839,013.35","1,346,972.63","254,462.85","131,530.57","237,847.61",8,2020,3
2020-09-01,"12,572,002.43","4,039,832.17","3,188,366.07","2,532,839.49","845,153.93","1,349,817.27","250,879.47","126,584.81","238,529.21",9,2020,3
2020-10-01,"12,742,421.91","4,057,297.67","3,276,385.91","2,565,229.02","849,048.95","1,367,986.79","250,855.26","130,941.94","244,676.36",10,2020,4
2020-11-01,"12,890,668.34","4,098,469.53","3,367,633.81","2,557,550.71","853,869.22","1,385,314.00","254,559.80","129,336.51","243,934.77",11,2020,4
2020-12-01,"13,006,170.25","4,117,616.03","3,411,218.02","2,600,219.49","858,746.92","1,388,681.58","257,064.38","131,075.76","241,548.06",12,2020,4
2021-01-01,"12,749,458.31","4,016,317.91","3,381,244.19","2,552,612.92","829,778.62","1,351,429.22","255,217.79","129,502.37","233,355.29",1,2021,1
2021-02-01,"13,053,911.91","4,120,381.39","3,461,250.96","2,618,516.83","853,187.16","1,370,649.96","262,156.82","131,088.50","236,680.29",2,2021,1
2021-03-01,"13,082,728.07","4,129,264.27","3,449,802.49","2,622,796.28","851,969.67","1,402,245.13","261,992.71","130,211.25","234,446.28",3,2021,1
